2026-06-20T02:40:27.040829123Z [inf]  Starting Container
2026-06-20T02:40:27.776546999Z [inf]  Pyromod is working! If you like pyromod, please star it at https://github.com/usernein/pyromod
2026-06-20T02:40:27.776552068Z [err]  2026-06-20 02:40:27 | INFO | pyrogram.session.auth | Start creating a new auth key on DC2
2026-06-20T02:40:27.776556223Z [err]  2026-06-20 02:40:27 | INFO | pyrogram.connection.connection | Connecting...
2026-06-20T02:40:27.776559641Z [err]  2026-06-20 02:40:27 | INFO | pyrogram.connection.connection | Connected! Production DC2 - IPv4
2026-06-20T02:40:28.929507012Z [err]  2026-06-20 02:40:28 | INFO | pyrogram.session.auth | Done auth key exchange: DhGenOk
2026-06-20T02:40:28.929514205Z [err]  2026-06-20 02:40:28 | INFO | pyrogram.connection.connection | Disconnected
2026-06-20T02:40:28.944566092Z [err]  2026-06-20 02:40:28 | INFO | pyrogram.connection.connection | Connecting...
2026-06-20T02:40:29.084629783Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.connection.connection | Connected! Production DC2 - IPv4
2026-06-20T02:40:29.084632860Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | NetworkTask started
2026-06-20T02:40:29.823905791Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | Session initialized: Layer 220
2026-06-20T02:40:29.823908785Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | Device: CPython 3.10.15 - Pyrogram 2.3.69
2026-06-20T02:40:29.823911519Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | System: Linux 6.18.15+deb13-cloud-amd64 (en)
2026-06-20T02:40:29.823914791Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | Session started
2026-06-20T02:40:29.823917550Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | PingTask started
2026-06-20T02:40:29.823920285Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | PingTask stopped
2026-06-20T02:40:29.823923066Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.connection.connection | Disconnected
2026-06-20T02:40:29.823926414Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | NetworkTask stopped
2026-06-20T02:40:29.823930045Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.session | Session stopped
2026-06-20T02:40:29.823933183Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.session.auth | Start creating a new auth key on DC4
2026-06-20T02:40:29.823936322Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.connection.connection | Connecting...
2026-06-20T02:40:29.823939783Z [err]  2026-06-20 02:40:29 | INFO | pyrogram.connection.connection | Connected! Production DC4 - IPv4
2026-06-20T02:40:31.793687197Z [err]  2026-06-20 02:40:31 | INFO | pyrogram.connection.connection | Disconnected
2026-06-20T02:40:31.793699760Z [err]  2026-06-20 02:40:31 | INFO | pyrogram.connection.connection | Connecting...
2026-06-20T02:40:31.793715637Z [err]  2026-06-20 02:40:31 | INFO | pyrogram.session.auth | Done auth key exchange: DhGenOk
2026-06-20T02:40:31.926842986Z [err]  2026-06-20 02:40:31 | INFO | pyrogram.connection.connection | Connected! Production DC4 - IPv4
2026-06-20T02:40:31.926850778Z [err]  2026-06-20 02:40:31 | INFO | pyrogram.session.session | NetworkTask started
2026-06-20T02:40:32.360466007Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.session.session | Session initialized: Layer 220
2026-06-20T02:40:32.360471285Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.session.session | Device: CPython 3.10.15 - Pyrogram 2.3.69
2026-06-20T02:40:32.360475320Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.session.session | System: Linux 6.18.15+deb13-cloud-amd64 (en)
2026-06-20T02:40:32.360478492Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.session.session | Session started
